
categories,actions
"VOIP, FOIP and Head Tracking",Enable / Disable Head Tracking for 3rd Person Camera (Toggle)
"VOIP, FOIP and Head Tracking",VOIP Push To Talk
"VOIP, FOIP and Head Tracking",VOIP Push To Talk (Proximity only)
"VOIP, FOIP and Head Tracking",FOIP Selfie Cam
"VOIP, FOIP and Head Tracking",FOIP Recalibrate
"VOIP, FOIP and Head Tracking",Cycle through audio channels
"Quick Keys, Interactions, and Inner Thought",Interaction Mode
"Quick Keys, Interactions, and Inner Thought",Activate Inner Thought
"Quick Keys, Interactions, and Inner Thought",Activate Inner Thought
"Quick Keys, Interactions, and Inner Thought",Focus
"Quick Keys, Interactions, and Inner Thought",Interaction Mode Zoom In
"Quick Keys, Interactions, and Inner Thought",Interaction Mode Zoom Out
"Quick Keys, Interactions, and Inner Thought",MFD Left
"Quick Keys, Interactions, and Inner Thought",MFD Right
"Quick Keys, Interactions, and Inner Thought",MFD Up
"Quick Keys, Interactions, and Inner Thought",MFD Down
"Quick Keys, Interactions, and Inner Thought",Personal Inner Thought (PIT)
"Quick Keys, Interactions, and Inner Thought",@ui_CICameraOrbit
"Quick Keys, Interactions, and Inner Thought",Exit
"Quick Keys, Interactions, and Inner Thought",Personal Commodity Inventory (Toggle)
"Quick Keys, Interactions, and Inner Thought",Personal Commodity Inventory (Toggle)
"Quick Keys, Interactions, and Inner Thought",@ui_CIInteractionLootingToggleView
"Quick Keys, Interactions, and Inner Thought",Looting - Toggle Weapon Attachments
"Quick Keys, Interactions, and Inner Thought",Drop Item
"Quick Keys, Interactions, and Inner Thought",Store All Commodities
"Quick Keys, Interactions, and Inner Thought",Player Actions - PIT Category
"Quick Keys, Interactions, and Inner Thought",Emotes - PIT Category
"Quick Keys, Interactions, and Inner Thought",Ship Systems - PIT Category
"Quick Keys, Interactions, and Inner Thought",Flight Systems - PIT Category
"Quick Keys, Interactions, and Inner Thought",Vehicle Actions - PIT Category
"Quick Keys, Interactions, and Inner Thought",Weapon Systems - PIT Category
"Quick Keys, Interactions, and Inner Thought",Remote Turret - PIT Category
"Quick Keys, Interactions, and Inner Thought",Item Actions - PIT Category
"Quick Keys, Interactions, and Inner Thought",Weapon Selection - PIT Category
"Quick Keys, Interactions, and Inner Thought",Mobiglas Actions - PIT Category
"Quick Keys, Interactions, and Inner Thought",Mining Mode Actions - PIT Category
"Quick Keys, Interactions, and Inner Thought",Weapon Select Radial Menu
"Quick Keys, Interactions, and Inner Thought",Weapon Select Radial Menu
"Quick Keys, Interactions, and Inner Thought",Weapon Select Radial Menu
"Quick Keys, Interactions, and Inner Thought",Throwable Select Radial Menu
"Quick Keys, Interactions, and Inner Thought",@ui_Consumable_QuickSelectRadialMenu
Camera - Advanced Camera Controls,Increase FoV
Camera - Advanced Camera Controls,Decrease FoV
Camera - Advanced Camera Controls,Increase DoF
Camera - Advanced Camera Controls,Decrease DoF
Camera - Advanced Camera Controls,Reset Current View
